function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
meta-inbox-oauth-callback,supabase/functions/meta-inbox-oauth-callback/index.ts,RAW serve(),"UNKNOWN (raw serve)",no,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here; MISSING-resource-scope-check"
meta-inbox-oauth-complete,supabase/functions/meta-inbox-oauth-complete/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
meta-inbox-oauth-pages,supabase/functions/meta-inbox-oauth-pages/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
meta-inbox-oauth-start,supabase/functions/meta-inbox-oauth-start/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
meta-inbox-resubscribe,supabase/functions/meta-inbox-resubscribe/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
meta-inbox-status,supabase/functions/meta-inbox-status/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
meta-inbox-webhook,supabase/functions/meta-inbox-webhook/index.ts,RAW serve(),"UNKNOWN (raw serve)",no,no,no,"raw-serve-not-audited-by-doc18-allowlist-here; MISSING-resource-scope-check"
meta-inbox-webhook-healthcheck,supabase/functions/meta-inbox-webhook-healthcheck/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
moderate-external-review,supabase/functions/moderate-external-review/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
notifications-list,supabase/functions/notifications-list/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
notifications-mark-read,supabase/functions/notifications-mark-read/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
org-access,supabase/functions/org-access/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
org-plan,supabase/functions/org-plan/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
org-settings,supabase/functions/org-settings/index.ts,serveAdmin,"legacy-admin",yes,no,no,""
org-subscriptions-admin,supabase/functions/org-subscriptions-admin/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
org-team-custom-roles,supabase/functions/org-team-custom-roles/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
org-team-invitations,supabase/functions/org-team-invitations/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
org-team-members,supabase/functions/org-team-members/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
parking-access,supabase/functions/parking-access/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
parking-broadcast-email,supabase/functions/parking-broadcast-email/index.ts,RAW serve(),"UNKNOWN (raw serve)",no,no,no,"raw-serve-not-audited-by-doc18-allowlist-here; MISSING-resource-scope-check"
parking-payouts,supabase/functions/parking-payouts/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
parking-pricing,supabase/functions/parking-pricing/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
parking-settings,supabase/functions/parking-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
parking-team-custom-roles,supabase/functions/parking-team-custom-roles/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
parking-team-invitations,supabase/functions/parking-team-invitations/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
parking-team-members,supabase/functions/parking-team-members/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
